iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,10912,213304,395364
1,100,200,100,False,True,False,11060,195828,376904
1,100,100,200,False,False,True,11256,193252,373916
2,200,100,100,True,False,False,10984,188160,368892
2,100,200,100,False,True,False,10924,185548,366484
2,100,100,200,False,False,True,10940,193864,374612
3,200,100,100,True,False,False,10916,184744,365516
3,100,200,100,False,True,False,11260,188588,368860
3,100,100,200,False,False,True,10996,191292,374364
4,200,100,100,True,False,False,11080,187512,368396
4,100,200,100,False,True,False,11112,181196,363592
4,100,100,200,False,False,True,11052,189280,369580
5,200,100,100,True,False,False,11192,189720,370356
5,100,200,100,False,True,False,10984,184308,364624
5,100,100,200,False,False,True,10984,181424,364108
6,200,100,100,True,False,False,11016,187904,368696
6,100,200,100,False,True,False,11136,185356,365476
6,100,100,200,False,False,True,11256,185368,366268
7,200,100,100,True,False,False,11044,193676,374328
7,100,200,100,False,True,False,11184,193836,374628
7,100,100,200,False,False,True,11016,185136,367700
8,200,100,100,True,False,False,11048,192116,372752
8,100,200,100,False,True,False,10996,189836,370680
8,100,100,200,False,False,True,11184,198724,379412
9,200,100,100,True,False,False,10996,195596,376504
9,100,200,100,False,True,False,11248,186760,367780
9,100,100,200,False,False,True,11144,193224,373764
10,200,100,100,True,False,False,10948,207780,388544
10,100,200,100,False,True,False,11060,194216,374516
10,100,100,200,False,False,True,10984,186448,367280
11,200,100,100,True,False,False,10980,178156,360808
11,100,200,100,False,True,False,11004,185428,365636
11,100,100,200,False,False,True,11048,187576,370052
12,200,100,100,True,False,False,11128,191688,372244
12,100,200,100,False,True,False,11012,186348,367240
12,100,100,200,False,False,True,11088,188640,369508
13,200,100,100,True,False,False,10928,192388,372868
13,100,200,100,False,True,False,11076,189208,369916
13,100,100,200,False,False,True,10984,187640,370280
14,200,100,100,True,False,False,11044,189392,372536
14,100,200,100,False,True,False,10888,185616,368064
14,100,100,200,False,False,True,11012,188776,371748
15,200,100,100,True,False,False,10980,187852,368480
15,100,200,100,False,True,False,10892,186296,366884
15,100,100,200,False,False,True,11140,191436,371824
16,200,100,100,True,False,False,10988,210528,391416
16,100,200,100,False,True,False,11080,182976,364028
16,100,100,200,False,False,True,11116,187024,369484
17,200,100,100,True,False,False,11020,184140,364236
17,100,200,100,False,True,False,11072,189136,370768
17,100,100,200,False,False,True,11032,185036,364952
18,200,100,100,True,False,False,10916,183752,364780
18,100,200,100,False,True,False,11124,189424,369496
18,100,100,200,False,False,True,11060,187632,368880
19,200,100,100,True,False,False,11028,187164,368324
19,100,200,100,False,True,False,11000,184692,366980
19,100,100,200,False,False,True,11024,187916,368512
20,200,100,100,True,False,False,11052,193092,373360
20,100,200,100,False,True,False,11196,190780,372888
20,100,100,200,False,False,True,10960,196476,376992
21,200,100,100,True,False,False,11080,181604,361556
21,100,200,100,False,True,False,11120,197412,377824
21,100,100,200,False,False,True,11184,199128,379904
22,200,100,100,True,False,False,11236,184076,366936
22,100,200,100,False,True,False,11040,196020,376776
22,100,100,200,False,False,True,11000,183444,364600
23,200,100,100,True,False,False,11120,197888,378552
23,100,200,100,False,True,False,11052,209884,392048
23,100,100,200,False,False,True,11132,184992,365984
24,200,100,100,True,False,False,10956,185652,365788
24,100,200,100,False,True,False,11000,185388,366232
24,100,100,200,False,False,True,11252,184252,366564
25,200,100,100,True,False,False,10968,184744,365588
25,100,200,100,False,True,False,11084,187044,368064
25,100,100,200,False,False,True,11196,183064,363436
26,200,100,100,True,False,False,11032,180640,360852
26,100,200,100,False,True,False,11080,185380,365828
26,100,100,200,False,False,True,11056,190924,371888
27,200,100,100,True,False,False,10908,196748,377484
27,100,200,100,False,True,False,11060,191992,372564
27,100,100,200,False,False,True,10980,222968,403204
28,200,100,100,True,False,False,11056,185668,366212
28,100,200,100,False,True,False,10920,188776,369420
28,100,100,200,False,False,True,11056,209976,391148
29,200,100,100,True,False,False,10948,187052,368288
29,100,200,100,False,True,False,10976,186656,369208
29,100,100,200,False,False,True,10944,196376,376920
30,200,100,100,True,False,False,11076,181848,364612
30,100,200,100,False,True,False,11128,196012,376612
30,100,100,200,False,False,True,10924,192184,373128
31,200,100,100,True,False,False,11032,196952,377696
31,100,200,100,False,True,False,11120,188900,369436
31,100,100,200,False,False,True,11016,188588,369444
32,200,100,100,True,False,False,11192,183004,365752
32,100,200,100,False,True,False,11128,184992,365636
32,100,100,200,False,False,True,10952,193236,376012
33,200,100,100,True,False,False,11180,190868,372924
33,100,200,100,False,True,False,10984,192688,373252
33,100,100,200,False,False,True,10980,186008,366812
34,200,100,100,True,False,False,10984,180400,361468
34,100,200,100,False,True,False,11152,184456,364552
34,100,100,200,False,False,True,11068,186816,369468
35,200,100,100,True,False,False,11100,188896,369940
35,100,200,100,False,True,False,11204,187280,368032
35,100,100,200,False,False,True,10912,195320,376116
1,400,100,100,True,False,False,11132,209472,390124
1,100,400,100,False,True,False,11072,212412,394688
1,100,100,400,False,False,True,10972,195292,376592
2,400,100,100,True,False,False,11180,199544,381656
2,100,400,100,False,True,False,11012,206256,386984
2,100,100,400,False,False,True,11192,208804,389288
3,400,100,100,True,False,False,10940,202948,383620
3,100,400,100,False,True,False,11000,215576,396496
3,100,100,400,False,False,True,11016,210916,391604
4,400,100,100,True,False,False,11004,201812,384344
4,100,400,100,False,True,False,11080,208456,391000
4,100,100,400,False,False,True,10928,206512,387496
5,400,100,100,True,False,False,11144,198500,379292
5,100,400,100,False,True,False,10952,205176,385772
5,100,100,400,False,False,True,10976,203180,383816
6,400,100,100,True,False,False,11072,205848,386364
6,100,400,100,False,True,False,10960,201680,382476
6,100,100,400,False,False,True,10996,201748,382992
7,400,100,100,True,False,False,11084,203188,385800
7,100,400,100,False,True,False,10904,200404,381308
7,100,100,400,False,False,True,11004,202992,384004
8,400,100,100,True,False,False,10980,201724,382276
8,100,400,100,False,True,False,11264,201044,381864
8,100,100,400,False,False,True,11132,199688,380316
9,400,100,100,True,False,False,10988,207872,389240
9,100,400,100,False,True,False,11260,201876,384308
9,100,100,400,False,False,True,11064,200500,381412
10,400,100,100,True,False,False,11192,199932,379456
10,100,400,100,False,True,False,11016,194580,375668
10,100,100,400,False,False,True,11012,206336,387324
11,400,100,100,True,False,False,11016,207176,388052
11,100,400,100,False,True,False,11012,201312,383540
11,100,100,400,False,False,True,11008,205240,387876
12,400,100,100,True,False,False,11012,199472,381792
12,100,400,100,False,True,False,11020,200872,381272
12,100,100,400,False,False,True,11188,213824,393824
13,400,100,100,True,False,False,11056,205360,388120
13,100,400,100,False,True,False,10892,202964,383524
13,100,100,400,False,False,True,11208,202152,382888
14,400,100,100,True,False,False,10980,204584,386980
14,100,400,100,False,True,False,11044,199316,380392
14,100,100,400,False,False,True,11048,203532,385932
15,400,100,100,True,False,False,11024,204152,384940
15,100,400,100,False,True,False,11072,202440,382916
15,100,100,400,False,False,True,11064,196208,377424
16,400,100,100,True,False,False,11120,204644,385084
16,100,400,100,False,True,False,11056,196692,379300
16,100,100,400,False,False,True,11180,206820,386964
17,400,100,100,True,False,False,11128,208428,388984
17,100,400,100,False,True,False,11188,198320,378940
17,100,100,400,False,False,True,11188,197640,377792
18,400,100,100,True,False,False,11068,204288,384768
18,100,400,100,False,True,False,11048,207288,388448
18,100,100,400,False,False,True,11080,228624,409116
19,400,100,100,True,False,False,11020,226996,407896
19,100,400,100,False,True,False,10952,208080,389176
19,100,100,400,False,False,True,11192,205304,386096
20,400,100,100,True,False,False,11064,199324,379412
20,100,400,100,False,True,False,11068,206004,386540
20,100,100,400,False,False,True,11084,222928,403340
21,400,100,100,True,False,False,10996,212292,395092
