d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb,memory_pressure,elapsed_time
100,100,200,False,False,True,11096,206224,440932,0.0,21.576992750167847
100,100,200,False,False,True,11176,186492,420876,0.05,21.664379119873047
100,100,200,False,False,True,11064,190904,425256,0.1,22.22160840034485
100,100,200,False,False,True,11028,218680,452872,0.15,21.816718101501465
100,100,200,False,False,True,10992,204416,439132,0.2,21.562618494033813
100,100,200,False,False,True,10956,205808,423892,0.25,22.125988245010376
100,100,200,False,False,True,11124,213580,400540,0.3,21.65380501747132
100,100,200,False,False,True,11060,186872,375736,0.35,22.129135608673096
100,100,200,False,False,True,11128,185360,349792,0.4,24.48521423339844
100,100,200,False,False,True,11032,217692,324040,0.45,23.7708432674408
100,100,200,False,False,True,11092,220660,454600,0.0,23.248002529144287
100,100,200,False,False,True,10928,217276,453620,0.05,23.20058512687683
100,100,200,False,False,True,11172,206700,440664,0.1,23.65188765525818
100,100,200,False,False,True,11160,203036,436940,0.15,24.77847957611084
100,100,200,False,False,True,11164,218220,414776,0.2,24.021933794021606
100,100,200,False,False,True,10972,212604,395828,0.25,24.050008058547974
100,100,200,False,False,True,11084,212784,367288,0.3,22.321467638015747
100,100,200,False,False,True,11088,221140,346124,0.35,24.592893600463867
100,100,200,False,False,True,10988,213916,324364,0.4,23.922707319259644
100,100,200,False,False,True,10988,219176,453468,0.0,24.651057481765747
100,100,200,False,False,True,11236,218372,452924,0.05,26.66804885864257
100,100,200,False,False,True,11028,215028,449860,0.1,25.00321817398072
100,100,200,False,False,True,11056,209904,444440,0.15,24.21786856651306
100,100,200,False,False,True,11228,209976,434344,0.2,24.721715927124023
100,100,200,False,False,True,11088,215956,413452,0.25,23.74501061439514
100,100,200,False,False,True,11220,208640,391360,0.3,22.93002891540528
100,100,200,False,False,True,11108,217332,362176,0.35,24.86854553222656
100,100,200,False,False,True,10992,211876,339648,0.4,24.536948919296265
100,100,200,False,False,True,10960,213620,317312,0.45,23.98189163208008
100,100,400,False,False,True,11116,236160,521316,0.0,45.358524322509766
100,100,400,False,False,True,10948,235768,523240,0.05,46.67433953285217
100,100,400,False,False,True,11064,234876,520072,0.1,46.4866464138031
100,100,400,False,False,True,11064,229136,514092,0.15,46.26744818687439
100,100,400,False,False,True,11048,227652,492264,0.2,46.92912244796753
100,100,400,False,False,True,11180,226240,467032,0.25,45.55929160118103
100,100,400,False,False,True,11116,229824,440048,0.3,46.089534282684326
100,100,400,False,False,True,10948,220176,415732,0.35,44.7263457775116
100,100,400,False,False,True,11188,235028,386996,0.4,46.459303855896
100,100,400,False,False,True,11000,229124,356320,0.45,45.06765675544739
100,100,400,False,False,True,11108,218936,503704,0.0,46.827717781066895
100,100,400,False,False,True,11128,225408,511856,0.05,43.796536922454834
100,100,400,False,False,True,11056,235884,520880,0.1,43.113311767578125
100,100,400,False,False,True,10976,225456,503176,0.15,48.25378084182739
100,100,400,False,False,True,11168,230140,479396,0.2,45.32893395423889
100,100,400,False,False,True,11180,231696,448460,0.25,44.39941000938416
100,100,400,False,False,True,11236,228660,428772,0.3,46.05616307258606
100,100,400,False,False,True,11112,237452,397080,0.35,46.14935541152954
100,100,400,False,False,True,11052,228860,371696,0.4,44.030322551727295
100,100,400,False,False,True,11172,225744,510712,0.0,46.2614631652832
100,100,400,False,False,True,11044,230092,517104,0.05,45.597856760025024
100,100,400,False,False,True,11236,231260,516268,0.1,47.79533481597901
100,100,400,False,False,True,11056,232872,502660,0.15,45.81423616409302
100,100,400,False,False,True,11180,221760,476380,0.2,46.437127113342285
100,100,400,False,False,True,10932,226760,453100,0.25,46.48271894454956
100,100,400,False,False,True,11032,221476,429508,0.3,47.8786211013794
100,100,400,False,False,True,11076,228620,402684,0.35,48.16765189170837
100,100,400,False,False,True,11028,231276,371672,0.4,46.61667919158936
100,100,600,False,False,True,11160,247016,582448,0.0,70.46643352508545
100,100,600,False,False,True,10976,241580,577252,0.05,66.55600762367249
100,100,600,False,False,True,11072,245344,580948,0.1,67.2340157032013
100,100,600,False,False,True,11056,251716,580120,0.15,64.6250741481781
100,100,600,False,False,True,11172,247104,550500,0.2,71.30930018424988
100,100,600,False,False,True,10928,243100,521672,0.25,68.57624244689941
100,100,600,False,False,True,11064,233368,493660,0.3,68.24711775779724
100,100,600,False,False,True,10928,239928,459952,0.35,66.27762651443481
100,100,600,False,False,True,11116,245508,433612,0.4,65.83604001998901
100,100,600,False,False,True,11028,241792,397816,0.45,70.92685675621033
100,100,600,False,False,True,11100,237804,573656,0.0,71.16147541999817
100,100,600,False,False,True,11044,239440,575688,0.05,70.7615270614624
100,100,600,False,False,True,11168,242908,578820,0.1,69.8691713809967
100,100,600,False,False,True,11040,236724,572276,0.15,69.69532060623169
100,100,600,False,False,True,11112,242136,545084,0.2,67.98844027519226
100,100,600,False,False,True,11052,251976,520552,0.25,67.69766139984131
100,100,600,False,False,True,11044,257620,492776,0.3,70.2218267917633
100,100,600,False,False,True,11024,245884,461084,0.35,70.31455278396606
100,100,600,False,False,True,11168,240264,434212,0.4,65.85952639579773
100,100,600,False,False,True,11124,246232,581872,0.0,66.1011118888855
100,100,600,False,False,True,11172,240924,576212,0.05,66.10971093177795
100,100,600,False,False,True,11168,244168,580068,0.1,63.82450222969055
100,100,600,False,False,True,11052,243556,566608,0.15,64.811527967453
100,100,600,False,False,True,11012,236672,536324,0.2,66.13173604011536
100,100,600,False,False,True,11060,251756,514316,0.25,63.712241888046265
100,100,600,False,False,True,11224,245888,484500,0.3,66.45803642272949
100,100,600,False,False,True,11112,245480,453340,0.35,69.07093024253845
100,100,600,False,False,True,10960,248612,425508,0.4,74.54000401496887
100,100,800,False,False,True,11012,260712,647344,0.0,90.61007571220398
100,100,800,False,False,True,11072,256504,643368,0.05,93.64136362075806
100,100,800,False,False,True,11040,258108,637212,0.1,90.11912274360655
100,100,800,False,False,True,11168,258844,606248,0.15,91.01369047164916
100,100,800,False,False,True,11040,255228,580652,0.2,87.38522744178772
100,100,800,False,False,True,11044,250212,550304,0.25,90.2627649307251
100,100,800,False,False,True,11024,260492,518020,0.3,89.06014394760132
100,100,800,False,False,True,11072,252088,485928,0.35,89.92044448852539
100,100,800,False,False,True,11100,232572,450232,0.4,82.04732656478882
100,100,800,False,False,True,11040,232936,424324,0.45,86.35945630073547
100,100,800,False,False,True,11056,235192,621260,0.0,83.37525367736816
100,100,800,False,False,True,11100,250176,636336,0.05,84.64088535308838
100,100,800,False,False,True,11148,238024,624208,0.1,82.00671076774597
100,100,800,False,False,True,11120,232348,615372,0.15,80.47276425361633
100,100,800,False,False,True,10968,251068,582268,0.2,83.77493500709534
100,100,800,False,False,True,10996,229632,553296,0.25,81.74451351165771
100,100,800,False,False,True,11116,227836,520464,0.3,84.15325021743774
100,100,800,False,False,True,11128,242572,481632,0.35,80.77628493309021
100,100,800,False,False,True,11104,234060,455864,0.4,80.23550844192505
100,100,800,False,False,True,11096,241032,427512,0.45,84.8914749622345
100,100,800,False,False,True,11024,232792,621356,0.0,83.98906421661377
100,100,800,False,False,True,11132,231824,620120,0.05,81.20376133918762
100,100,800,False,False,True,11168,227376,615844,0.1,81.96829032897949
100,100,800,False,False,True,11096,232420,610440,0.15,80.67544555664062
100,100,800,False,False,True,11068,233404,578880,0.2,79.39505100250244
100,100,800,False,False,True,11036,234896,548912,0.25,85.07195138931274
100,100,800,False,False,True,11168,235828,518680,0.3,80.93696117401123
100,100,800,False,False,True,11116,235392,480108,0.35,81.85902667045593
100,100,800,False,False,True,11116,247952,455772,0.4,84.8663649559021
100,100,1000,False,False,True,11096,244956,682156,0.0,111.09602642059326
100,100,1000,False,False,True,11044,251336,688268,0.05,102.14646530151369
100,100,1000,False,False,True,11032,249456,686628,0.1,101.89436078071594
100,100,1000,False,False,True,11196,249768,682288,0.15,101.7760283946991
100,100,1000,False,False,True,11128,250656,648948,0.2,103.89796566963196
100,100,1000,False,False,True,11044,250868,614392,0.25,103.00611186027528
100,100,1000,False,False,True,11228,244804,579404,0.3,104.46070170402528
100,100,1000,False,False,True,11032,273552,538228,0.35,102.79562401771544
100,100,1000,False,False,True,11232,278160,506360,0.4,108.50008249282835
100,100,1000,False,False,True,11016,244192,471468,0.45,105.5362265110016
100,100,1000,False,False,True,11140,248816,686388,0.0,102.42031121253969
100,100,1000,False,False,True,11304,248636,686124,0.05,101.47158002853394
100,100,1000,False,False,True,11028,247712,684940,0.1,107.98109459877014
100,100,1000,False,False,True,11192,244976,672992,0.15,105.48937344551086
100,100,1000,False,False,True,11028,247064,638828,0.2,100.56881284713744
100,100,1000,False,False,True,11028,257196,604704,0.25,106.3039436340332
100,100,1000,False,False,True,10912,272148,569856,0.3,106.8919792175293
100,100,1000,False,False,True,11032,249728,535228,0.35,106.34440517425536
100,100,1000,False,False,True,11020,260956,500404,0.4,108.64032459259032
100,100,1000,False,False,True,11116,259224,463908,0.45,101.98475861549376
100,100,1000,False,False,True,11156,259264,696068,0.0,105.47862720489502
100,100,1000,False,False,True,11028,259444,696416,0.05,129.48981022834778
100,100,1000,False,False,True,11012,277352,701812,0.1,134.60715174674988
100,100,1000,False,False,True,11132,265964,666312,0.15,128.867595911026
100,100,1000,False,False,True,11124,257188,631080,0.2,128.21143627166748
100,100,1000,False,False,True,11024,273012,600240,0.25,132.24907779693604
100,100,1000,False,False,True,11060,270940,565736,0.3,138.11329817771912
100,100,1000,False,False,True,11096,274144,522124,0.35,137.07744026184082
100,100,1000,False,False,True,11240,265352,492300,0.4,128.1703736782074
100,100,1200,False,False,True,11300,284632,772772,0.0,156.50192761421204
100,100,1200,False,False,True,10992,286104,775960,0.05,133.93756699562073
100,100,1200,False,False,True,10948,284044,771920,0.1,128.50807881355286
