iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,13448,103004,230628
1,100,200,100,False,True,False,13900,82912,210716
1,100,100,200,False,False,True,13224,84828,212540
2,200,100,100,True,False,False,11400,83772,211712
2,100,200,100,False,True,False,11380,82484,210116
2,100,100,200,False,False,True,11052,91920,219696
3,200,100,100,True,False,False,13656,89480,217352
3,100,200,100,False,True,False,11036,82872,210908
3,100,100,200,False,False,True,13292,75464,203256
4,200,100,100,True,False,False,11300,83700,211528
4,100,200,100,False,True,False,11444,86940,214748
4,100,100,200,False,False,True,11220,109816,237564
5,200,100,100,True,False,False,11104,86952,214672
5,100,200,100,False,True,False,13500,84804,212608
5,100,100,200,False,False,True,13268,87128,214932
6,200,100,100,True,False,False,11296,84852,212712
6,100,200,100,False,True,False,11188,81424,209192
6,100,100,200,False,False,True,11460,85440,213204
7,200,100,100,True,False,False,11220,87904,215652
7,100,200,100,False,True,False,11812,86900,215004
7,100,100,200,False,False,True,13084,72708,200828
8,200,100,100,True,False,False,13592,86664,214392
8,100,200,100,False,True,False,15960,80728,208544
8,100,100,200,False,False,True,11060,85152,213084
9,200,100,100,True,False,False,13456,83548,211116
9,100,200,100,False,True,False,13228,101088,229076
9,100,100,200,False,False,True,11340,87672,215572
10,200,100,100,True,False,False,13896,82560,210320
10,100,200,100,False,True,False,13320,84208,211960
10,100,100,200,False,False,True,13180,76948,204820
11,200,100,100,True,False,False,11420,87244,214804
11,100,200,100,False,True,False,13212,77196,204768
11,100,100,200,False,False,True,11176,84800,212584
12,200,100,100,True,False,False,11300,82948,210840
12,100,200,100,False,True,False,11148,83528,211564
12,100,100,200,False,False,True,11060,81644,209188
13,200,100,100,True,False,False,13180,83624,211636
13,100,200,100,False,True,False,11376,86996,214928
13,100,100,200,False,False,True,10912,81976,209748
14,200,100,100,True,False,False,11184,81436,209484
14,100,200,100,False,True,False,13256,84920,212796
14,100,100,200,False,False,True,13188,83400,211264
15,200,100,100,True,False,False,13952,76456,204336
15,100,200,100,False,True,False,11580,83260,211132
15,100,100,200,False,False,True,11468,80460,208392
16,200,100,100,True,False,False,11300,91380,219300
16,100,200,100,False,True,False,11460,90544,218404
16,100,100,200,False,False,True,13640,84676,212416
17,200,100,100,True,False,False,11132,85008,212972
17,100,200,100,False,True,False,11572,89456,217276
17,100,100,200,False,False,True,13040,83064,211156
18,200,100,100,True,False,False,13616,89032,216816
18,100,200,100,False,True,False,11552,88432,216344
18,100,100,200,False,False,True,13960,80272,208080
19,200,100,100,True,False,False,13244,84348,212328
19,100,200,100,False,True,False,11116,85296,213068
19,100,100,200,False,False,True,13336,85124,213016
20,200,100,100,True,False,False,11300,83660,211180
20,100,200,100,False,True,False,11812,87228,215072
20,100,100,200,False,False,True,13776,86064,213740
21,200,100,100,True,False,False,11136,83732,211604
21,100,200,100,False,True,False,13004,88052,215912
21,100,100,200,False,False,True,11900,86416,214392
22,200,100,100,True,False,False,11180,85480,213300
22,100,200,100,False,True,False,13256,86788,214776
22,100,100,200,False,False,True,11128,82144,210088
23,200,100,100,True,False,False,11544,85352,213056
23,100,200,100,False,True,False,11220,84684,212572
23,100,100,200,False,False,True,13536,78972,206820
24,200,100,100,True,False,False,13676,76452,204316
24,100,200,100,False,True,False,13260,81700,209604
24,100,100,200,False,False,True,11304,81028,208872
25,200,100,100,True,False,False,13004,83036,210952
25,100,200,100,False,True,False,11516,85292,213100
25,100,100,200,False,False,True,11448,89132,216928
26,200,100,100,True,False,False,11512,86536,214460
26,100,200,100,False,True,False,13504,83188,210756
26,100,100,200,False,False,True,11296,83068,211088
27,200,100,100,True,False,False,13152,83820,211772
27,100,200,100,False,True,False,11248,86872,214888
27,100,100,200,False,False,True,11304,88752,216664
28,200,100,100,True,False,False,13036,86684,214476
28,100,200,100,False,True,False,13624,86348,214180
28,100,100,200,False,False,True,13916,85028,212896
29,200,100,100,True,False,False,13560,85108,213040
29,100,200,100,False,True,False,13284,87328,215112
29,100,100,200,False,False,True,11184,81200,208960
30,200,100,100,True,False,False,11564,83232,210660
30,100,200,100,False,True,False,13576,84300,212324
30,100,100,200,False,False,True,11944,89600,217532
31,200,100,100,True,False,False,13148,85016,213096
31,100,200,100,False,True,False,13260,79032,207068
31,100,100,200,False,False,True,13928,80988,208820
32,200,100,100,True,False,False,13224,85824,213644
32,100,200,100,False,True,False,13772,85596,213568
32,100,100,200,False,False,True,13224,81640,209412
33,200,100,100,True,False,False,13036,81868,209576
33,100,200,100,False,True,False,13604,83492,211440
33,100,100,200,False,False,True,11172,85280,213324
34,200,100,100,True,False,False,11504,84612,212480
34,100,200,100,False,True,False,11104,85700,213712
34,100,100,200,False,False,True,11324,86740,214336
35,200,100,100,True,False,False,13380,81460,209340
35,100,200,100,False,True,False,11400,88876,216704
35,100,100,200,False,False,True,11584,85196,212728
1,400,100,100,True,False,False,11244,104488,325992
1,100,400,100,False,True,False,13672,94492,316180
1,100,100,400,False,False,True,11980,100404,322180
2,400,100,100,True,False,False,13240,102616,324180
2,100,400,100,False,True,False,11920,102476,324132
2,100,100,400,False,False,True,11456,103844,325388
3,400,100,100,True,False,False,11940,95752,317456
3,100,400,100,False,True,False,11536,105504,327024
3,100,100,400,False,False,True,11808,103696,325284
4,400,100,100,True,False,False,13176,101092,322836
4,100,400,100,False,True,False,13920,103828,325596
4,100,100,400,False,False,True,11424,100576,321996
5,400,100,100,True,False,False,13144,98560,320132
5,100,400,100,False,True,False,11136,99036,320776
5,100,100,400,False,False,True,13368,100256,322084
6,400,100,100,True,False,False,13680,100824,322592
6,100,400,100,False,True,False,13944,96056,317484
6,100,100,400,False,False,True,11400,102884,324556
7,400,100,100,True,False,False,11932,97552,319304
7,100,400,100,False,True,False,11116,101172,323004
7,100,100,400,False,False,True,13488,100924,322764
8,400,100,100,True,False,False,13912,95948,317608
8,100,400,100,False,True,False,11648,100708,322224
8,100,100,400,False,False,True,11452,103968,325424
9,400,100,100,True,False,False,13264,98712,320220
9,100,400,100,False,True,False,11392,104792,326372
9,100,100,400,False,False,True,13156,98384,320036
10,400,100,100,True,False,False,13576,98764,320508
10,100,400,100,False,True,False,13708,99540,321208
10,100,100,400,False,False,True,13548,100220,321908
11,400,100,100,True,False,False,11468,100508,321964
11,100,400,100,False,True,False,11216,99600,321152
11,100,100,400,False,False,True,11344,102180,323844
12,400,100,100,True,False,False,13380,102772,324320
12,100,400,100,False,True,False,13920,100224,321920
