Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 8804, 1972, 0, 0 0
100116, 100116, 11768, 1972, 0, 0 0
100116, 100116, 37556, 2068, 0, 0 0
100116, 100116, 86788, 1636, 0, 0 0
100116, 100116, 165296, 2128, 0, 0 0
100116, 100116, 208472, 2128, 0, 0 0
100116, 100116, 510916, 2128, 0, 0 0
100116, 100116, 760772, 2128, 0, 0 0
100116, 100116, 1014724, 2128, 0, 0 0
100116, 100116, 1270724, 2128, 0, 0 0
100116, 100116, 1526724, 2128, 0, 0 0
100116, 100116, 1782724, 2128, 0, 0 0
100116, 100116, 2036676, 2128, 0, 0 0
100116, 100116, 2280388, 2128, 0, 0 0
100116, 100116, 2522052, 2128, 0, 0 0
100116, 100116, 2767812, 2128, 0, 0 0
100116, 100116, 3027908, 2128, 0, 0 0
100116, 100116, 3285956, 2128, 0, 0 0
100116, 100116, 3541956, 2128, 0, 0 0
100116, 100116, 3781572, 2128, 0, 0 0
100116, 100116, 4019140, 2128, 0, 0 0
100116, 100116, 4260804, 2128, 0, 0 0
100116, 100116, 4516804, 2128, 0, 0 0
100116, 100116, 4768708, 2128, 0, 0 0
100116, 100116, 5008324, 2128, 0, 0 0
100116, 100116, 5256132, 2128, 0, 0 0
100116, 100116, 5495748, 2128, 0, 0 0
100116, 100116, 5739460, 2128, 0, 0 0
100116, 100116, 5981124, 2128, 0, 0 0
100116, 100116, 6222788, 2128, 0, 0 0
100116, 100116, 6464452, 2128, 0, 0 0
100116, 100116, 6697924, 2128, 0, 0 0
100116, 100116, 6941636, 2128, 0, 0 0
100116, 100116, 7193540, 2128, 0, 0 0
100116, 100116, 7447492, 2128, 0, 0 0
100116, 100116, 7703492, 2128, 0, 0 0
100116, 100116, 7955396, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081400, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 8081576, 2128, 0, 0 0
100116, 100116, 273796, 2128, 0, 0 0
100116, 100116, 8102676, 2128, 0, 0 0
100116, 100116, 8152548, 2268, 0, 0 0
100116, 100116, 8171488, 2268, 0, 0 0
100116, 100116, 8185120, 2492, 0, 0 0
100116, 100116, 8195040, 2492, 0, 0 0
100116, 100116, 8099440, 2492, 0, 0 0
100116, 100116, 8207912, 8452, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 20384, 8708, 0, 0 0
100116, 100116, 8207916, 12504, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 47844, 12180, 0, 0 0
100116, 100116, 8207916, 20248, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 70652, 16384, 0, 0 0
100116, 100116, 8207932, 40932, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 133132, 47224, 0, 0 0
100116, 100116, 8163996, 38660, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 148724, 49668, 4, 0 0
100116, 100116, 8228884, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 148724, 49668, 4, 0 0
100116, 100116, 8256952, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 148724, 49668, 4, 0 0
100116, 100116, 8262796, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 148736, 49668, 4, 0 0
100116, 100116, 8153996, 37996, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 148736, 49668, 4, 0 0
100116, 100116, 8289116, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151728, 49668, 4, 0 0
100116, 100116, 8289448, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151772, 49668, 4, 0 0
100116, 100116, 8289448, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151772, 49668, 4, 0 0
100116, 100116, 8289448, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151772, 49668, 4, 0 0
100116, 100116, 8289456, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151772, 49668, 4, 0 0
100116, 100116, 8289456, 49856, 4, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 102362, 151772, 49668, 4, 0 0
100116, 100116, 477096, 5824, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 100116, 477376, 5824, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 100116, 477436, 5824, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
100116, 100116, 477448, 5824, 0, 0 0
100116, 102360, 10576, 5588, 0, 0 0
