Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 8572, 2088, 0, 0 0
104048, 104048, 10692, 2088, 0, 0 0
104048, 104048, 40380, 2216, 0, 0 0
104048, 104048, 117272, 716, 0, 0 0
104048, 104048, 251856, 2216, 0, 0 0
104048, 104048, 380656, 2216, 0, 0 0
104048, 104048, 640752, 2216, 0, 0 0
104048, 104048, 902896, 2216, 0, 0 0
104048, 104048, 1162992, 2216, 0, 0 0
104048, 104048, 1421040, 2216, 0, 0 0
104048, 104048, 1683184, 2216, 0, 0 0
104048, 104048, 1947376, 2216, 0, 0 0
104048, 104048, 2209520, 2216, 0, 0 0
104048, 104048, 2471664, 2216, 0, 0 0
104048, 104048, 2733808, 2216, 0, 0 0
104048, 104048, 2995952, 2216, 0, 0 0
104048, 104048, 3245808, 2216, 0, 0 0
104048, 104048, 3507952, 2216, 0, 0 0
104048, 104048, 3766000, 2216, 0, 0 0
104048, 104048, 4028144, 2216, 0, 0 0
104048, 104048, 4288240, 2216, 0, 0 0
104048, 104048, 4550384, 2216, 0, 0 0
104048, 104048, 4808432, 2216, 0, 0 0
104048, 104048, 5068528, 2216, 0, 0 0
104048, 104048, 5320432, 2216, 0, 0 0
104048, 104048, 5580528, 2216, 0, 0 0
104048, 104048, 5842672, 2216, 0, 0 0
104048, 104048, 6100720, 2216, 0, 0 0
104048, 104048, 6358768, 2216, 0, 0 0
104048, 104048, 6620912, 2216, 0, 0 0
104048, 104048, 6885104, 2216, 0, 0 0
104048, 104048, 7139056, 2216, 0, 0 0
104048, 104048, 7397104, 2216, 0, 0 0
104048, 104048, 7659248, 2216, 0, 0 0
104048, 104048, 7919344, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069636, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8069808, 2216, 0, 0 0
104048, 104048, 8010988, 2216, 0, 0 0
104048, 104048, 8087200, 2216, 0, 0 0
104048, 104048, 166280, 784, 0, 0 0
104048, 104048, 8133732, 2292, 0, 0 0
104048, 104048, 8169812, 1904, 0, 0 0
104048, 104048, 8169060, 2448, 0, 0 0
104048, 104048, 8185132, 2540, 0, 0 0
104048, 104048, 8198704, 8540, 0, 0 0
104048, 105968, 10680, 5672, 0, 0 0
104048, 105970, 26004, 11080, 0, 0 0
104048, 104048, 8198708, 12404, 0, 0 0
104048, 105968, 10680, 5672, 0, 0 0
104048, 105970, 50304, 12188, 0, 0 0
104048, 104048, 8198716, 20004, 0, 0 0
104048, 105968, 10680, 5672, 0, 0 0
104048, 105970, 84644, 21348, 0, 0 0
104048, 104048, 8198728, 48800, 0, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 137796, 48948, 0, 0 0
104048, 104048, 8207052, 48892, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 148880, 50524, 4, 0 0
104048, 104048, 8209724, 44052, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 148880, 50524, 4, 0 0
104048, 104048, 8253440, 50552, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 148880, 50524, 4, 0 0
104048, 104048, 8261368, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 148888, 50556, 4, 0 0
104048, 104048, 8281044, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 148888, 50556, 4, 0 0
104048, 104048, 8281716, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 153468, 50556, 4, 0 0
104048, 104048, 8281720, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 153536, 50556, 4, 0 0
104048, 104048, 8281720, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 153536, 50556, 4, 0 0
104048, 104048, 8281736, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 153540, 50556, 4, 0 0
104048, 104048, 8281736, 50616, 4, 0 0
104048, 105968, 10680, 5692, 0, 0 0
104048, 105970, 153540, 50556, 4, 0 0
104048, 104048, 467252, 5976, 0, 0 0
104048, 105968, 10680, 5668, 0, 0 0
104048, 104048, 467548, 5976, 0, 0 0
104048, 105968, 10680, 5668, 0, 0 0
104048, 104048, 467612, 5976, 0, 0 0
104048, 105968, 10680, 5668, 0, 0 0
104048, 104048, 485000, 5976, 0, 0 0
104048, 105968, 10680, 5668, 0, 0 0
