,shape_dimension_value,shape_dimension,mean,std_dev
0,200,x,130.2497767857143,16.923879170999626
1,300,x,149.59609375,21.092467557741703
2,500,x,401.20669642857143,26.36170667856874
3,800,x,413.6731026785714,32.51289119081197
4,1300,x,469.0935267857143,0.007809310573453527
5,2100,x,605.5503348214286,12.862081485773741
6,3400,x,1358.8463169642857,22.22911135003442
7,5500,x,1964.5052455357143,82.83294234161231
8,8900,x,2451.6095982142856,462.5414621019609
9,14400,x,4974.148325892857,220.25858217442826
10,200,y,140.21830357142858,3.3696029892918897
11,300,y,143.25055803571428,29.515804110647412
12,500,y,390.12801339285716,40.25132329934921
13,800,y,401.80245535714283,31.699390180111916
14,1300,y,469.27767857142857,0.007010847667205093
15,2100,y,611.7546875,18.13123340896161
16,3400,y,1364.6734375,22.718486931076637
17,5500,y,2029.8751116071428,80.86461192542318
18,8900,y,2768.4809151785716,583.027401737609
19,14400,y,5092.007924107143,161.8337296232646
20,200,z,140.54497767857143,3.4288137731733572
21,300,z,135.39575892857144,29.114416695710204
22,500,z,389.66026785714286,52.30440060038902
23,800,z,443.58526785714287,27.27785455184645
24,1300,z,469.1469866071429,0.24946246220509014
25,2100,z,882.7810267857143,7.436404595043215
26,3400,z,1404.3672991071428,49.83508549304127
27,5500,z,1712.9661830357143,152.12807846189045
28,8900,z,3406.8604910714284,129.41477147989437
29,14400,z,5611.42734375,0.2572101323360712
