Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 8640, 2056, 0, 0 0
84856, 84856, 28636, 2192, 0, 0 0
84856, 84856, 36308, 2192, 0, 0 0
84856, 84856, 185212, 588, 0, 0 0
84856, 84856, 257048, 2192, 0, 0 0
84856, 84856, 487392, 2192, 0, 0 0
84856, 84856, 749536, 2192, 0, 0 0
84856, 84856, 1009632, 2192, 0, 0 0
84856, 84856, 1269728, 2192, 0, 0 0
84856, 84856, 1529824, 2192, 0, 0 0
84856, 84856, 1791968, 2192, 0, 0 0
84856, 84856, 2054112, 2192, 0, 0 0
84856, 84856, 2314208, 2192, 0, 0 0
84856, 84856, 2574304, 2192, 0, 0 0
84856, 84856, 2830304, 2192, 0, 0 0
84856, 84856, 3088352, 2192, 0, 0 0
84856, 84856, 3346400, 2192, 0, 0 0
84856, 84856, 3604448, 2192, 0, 0 0
84856, 84856, 3852256, 2192, 0, 0 0
84856, 84856, 4112352, 2192, 0, 0 0
84856, 84856, 4372448, 2192, 0, 0 0
84856, 84856, 4630496, 2192, 0, 0 0
84856, 84856, 4888544, 2192, 0, 0 0
84856, 84856, 5148640, 2192, 0, 0 0
84856, 84856, 5406688, 2192, 0, 0 0
84856, 84856, 5664736, 2192, 0, 0 0
84856, 84856, 5914592, 2192, 0, 0 0
84856, 84856, 6172640, 2192, 0, 0 0
84856, 84856, 6430688, 2192, 0, 0 0
84856, 84856, 6688736, 2192, 0, 0 0
84856, 84856, 6948832, 2192, 0, 0 0
84856, 84856, 7208928, 2192, 0, 0 0
84856, 84856, 7466976, 2192, 0, 0 0
84856, 84856, 7718880, 2192, 0, 0 0
84856, 84856, 7976928, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070580, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8070752, 2192, 0, 0 0
84856, 84856, 8078144, 2192, 0, 0 0
84856, 84856, 8081236, 2192, 0, 0 0
84856, 84856, 269936, 2276, 0, 0 0
84856, 84856, 8161348, 2276, 0, 0 0
84856, 84856, 8172340, 2472, 0, 0 0
84856, 84856, 8186808, 2524, 0, 0 0
84856, 84856, 8195720, 2108, 0, 0 0
84856, 84856, 8199684, 11232, 0, 0 0
84856, 86791, 10576, 5600, 0, 0 0
84856, 86793, 31136, 11564, 0, 0 0
84856, 84856, 8199688, 12324, 0, 0 0
84856, 86791, 10576, 5600, 0, 0 0
84856, 86793, 43276, 9236, 0, 0 0
84856, 84856, 8199708, 21508, 0, 0 0
84856, 86791, 10576, 5600, 0, 0 0
