d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb,memory_pressure,elapsed_time
100,100,200,False,False,True,11136,187720,421576,0,19.300812482833862
100,100,200,False,False,True,11040,188020,422588,0,19.94372630119324
100,100,200,False,False,True,11112,178472,413008,0,19.34700655937195
100,100,400,False,False,True,11228,207748,494564,0,37.93141508102417
100,100,400,False,False,True,11044,200388,485808,0,41.905471324920654
100,100,400,False,False,True,11104,198664,483432,0,40.4389328956604
100,100,600,False,False,True,11100,218528,554088,0,59.31789302825928
