iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
11,100,400,100,False,True,False,11072,275188,656136
11,100,100,400,False,False,True,11092,267700,647384
12,400,100,100,True,False,False,11032,265844,642948
12,100,400,100,False,True,False,11076,270088,647144
12,100,100,400,False,False,True,11024,266932,645936
13,400,100,100,True,False,False,11048,267240,645884
13,100,400,100,False,True,False,11028,268168,644608
13,100,100,400,False,False,True,11124,269964,649164
14,400,100,100,True,False,False,10900,258312,636980
14,100,400,100,False,True,False,11040,266796,645732
14,100,100,400,False,False,True,10984,269172,650472
15,400,100,100,True,False,False,11124,267412,646344
15,100,400,100,False,True,False,11236,265232,644936
15,100,100,400,False,False,True,11100,270616,647084
16,400,100,100,True,False,False,11104,275376,652392
16,100,400,100,False,True,False,10976,269972,648492
16,100,100,400,False,False,True,10948,272016,648672
17,400,100,100,True,False,False,11168,270316,648188
17,100,400,100,False,True,False,11060,265720,646148
17,100,100,400,False,False,True,11232,260064,639204
18,400,100,100,True,False,False,11112,270860,650256
18,100,400,100,False,True,False,10948,275660,655176
18,100,100,400,False,False,True,11036,260276,641600
19,400,100,100,True,False,False,11048,262120,641356
19,100,400,100,False,True,False,11172,265896,642380
19,100,100,400,False,False,True,11228,264864,645184
20,400,100,100,True,False,False,11020,266544,645356
20,100,400,100,False,True,False,10932,274008,654488
20,100,100,400,False,False,True,11112,261504,640332
21,400,100,100,True,False,False,10988,268404,646748
21,100,400,100,False,True,False,11080,272668,652444
21,100,100,400,False,False,True,11048,266968,645192
22,400,100,100,True,False,False,11072,269308,646544
22,100,400,100,False,True,False,11016,269920,648844
22,100,100,400,False,False,True,11028,274408,650976
23,400,100,100,True,False,False,10960,264840,643412
23,100,400,100,False,True,False,11188,267284,645956
23,100,100,400,False,False,True,10996,272912,651440
24,400,100,100,True,False,False,10976,273864,653500
24,100,400,100,False,True,False,11024,278004,658972
24,100,100,400,False,False,True,11068,270008,646792
25,400,100,100,True,False,False,11164,262024,638568
25,100,400,100,False,True,False,10956,269316,646340
25,100,100,400,False,False,True,11032,262552,641744
26,400,100,100,True,False,False,10996,268864,645544
26,100,400,100,False,True,False,11024,270696,649072
26,100,100,400,False,False,True,11008,262328,642468
27,400,100,100,True,False,False,11024,260752,639672
27,100,400,100,False,True,False,11092,261932,640036
27,100,100,400,False,False,True,11124,265716,646052
28,400,100,100,True,False,False,11100,262428,639736
28,100,400,100,False,True,False,11084,269480,647920
28,100,100,400,False,False,True,11228,250844,629524
29,400,100,100,True,False,False,11220,259528,638364
29,100,400,100,False,True,False,11008,256892,635948
29,100,100,400,False,False,True,11256,264104,642696
30,400,100,100,True,False,False,11180,275928,652844
30,100,400,100,False,True,False,11080,268856,649360
30,100,100,400,False,False,True,10992,266240,644852
31,400,100,100,True,False,False,10988,271460,650160
31,100,400,100,False,True,False,10996,262952,643352
31,100,100,400,False,False,True,10976,255784,635564
32,400,100,100,True,False,False,11020,255848,632280
32,100,400,100,False,True,False,11096,257708,635360
32,100,100,400,False,False,True,11012,264828,641304
33,400,100,100,True,False,False,10980,259048,637716
33,100,400,100,False,True,False,11160,255456,634016
33,100,100,400,False,False,True,11100,262044,643328
34,400,100,100,True,False,False,11192,259760,640948
34,100,400,100,False,True,False,11012,252292,629280
34,100,100,400,False,False,True,11112,258116,636632
35,400,100,100,True,False,False,10976,258608,635264
35,100,400,100,False,True,False,11004,257148,635620
35,100,100,400,False,False,True,11128,247804,624196
1,600,100,100,True,False,False,11016,279280,658328
1,100,600,100,False,True,False,11176,272036,651800
1,100,100,600,False,False,True,11016,289072,667868
2,600,100,100,True,False,False,11020,274164,653084
2,100,600,100,False,True,False,11044,280036,661204
2,100,100,600,False,False,True,10984,282968,659708
3,600,100,100,True,False,False,11100,277224,656144
3,100,600,100,False,True,False,11128,280192,656432
3,100,100,600,False,False,True,11060,280316,658768
4,600,100,100,True,False,False,11012,285928,664884
4,100,600,100,False,True,False,11168,279456,655880
4,100,100,600,False,False,True,11176,269300,648680
5,600,100,100,True,False,False,11160,276872,653928
5,100,600,100,False,True,False,10964,264060,644716
5,100,100,600,False,False,True,11040,275816,656636
6,600,100,100,True,False,False,11012,280324,659068
6,100,600,100,False,True,False,10948,280612,659428
6,100,100,600,False,False,True,11072,284188,663304
7,600,100,100,True,False,False,10952,273504,650288
7,100,600,100,False,True,False,11076,270736,647832
7,100,100,600,False,False,True,11228,276036,654492
8,600,100,100,True,False,False,11164,267532,646852
8,100,600,100,False,True,False,11040,272124,650888
8,100,100,600,False,False,True,11092,275884,654212
9,600,100,100,True,False,False,10956,271732,650340
9,100,600,100,False,True,False,11028,285260,662104
9,100,100,600,False,False,True,10984,275776,654840
10,600,100,100,True,False,False,10984,285100,664132
10,100,600,100,False,True,False,11136,285252,661828
10,100,100,600,False,False,True,11244,279896,658740
11,600,100,100,True,False,False,10904,272344,651128
11,100,600,100,False,True,False,11124,280116,659616
11,100,100,600,False,False,True,11072,277548,656712
12,600,100,100,True,False,False,11168,269772,648644
12,100,600,100,False,True,False,11100,270916,647832
12,100,100,600,False,False,True,10928,281792,660356
13,600,100,100,True,False,False,11040,276460,653072
13,100,600,100,False,True,False,11048,271112,652752
13,100,100,600,False,False,True,11112,286072,665152
14,600,100,100,True,False,False,11104,271144,650016
14,100,600,100,False,True,False,11008,278872,658992
14,100,100,600,False,False,True,11116,276768,656588
15,600,100,100,True,False,False,11036,273976,650680
15,100,600,100,False,True,False,11076,281680,662464
15,100,100,600,False,False,True,11104,281476,660416
16,600,100,100,True,False,False,11076,288364,665404
16,100,600,100,False,True,False,10944,285644,664880
16,100,100,600,False,False,True,11016,276684,653652
17,600,100,100,True,False,False,11084,284620,665668
17,100,600,100,False,True,False,10932,286092,664960
17,100,100,600,False,False,True,11060,286120,666788
18,600,100,100,True,False,False,10936,290272,668848
18,100,600,100,False,True,False,11076,272388,649508
18,100,100,600,False,False,True,11084,264480,642688
19,600,100,100,True,False,False,10912,279796,660448
19,100,600,100,False,True,False,11012,269312,648228
19,100,100,600,False,False,True,11028,282592,661628
20,600,100,100,True,False,False,11200,286592,664812
20,100,600,100,False,True,False,11116,279688,661060
20,100,100,600,False,False,True,11152,281652,660628
21,600,100,100,True,False,False,11072,268156,647172
21,100,600,100,False,True,False,11164,275804,652468
21,100,100,600,False,False,True,11228,284952,664048
22,600,100,100,True,False,False,11016,279804,658396
22,100,600,100,False,True,False,11020,275504,652272
22,100,100,600,False,False,True,11032,273004,649936
23,600,100,100,True,False,False,11124,287376,665924
23,100,600,100,False,True,False,11056,282052,658684
23,100,100,600,False,False,True,11048,279660,659520
24,600,100,100,True,False,False,11072,284880,663964
24,100,600,100,False,True,False,11224,264912,643532
24,100,100,600,False,False,True,11060,282192,660700
25,600,100,100,True,False,False,11048,283800,664476
25,100,600,100,False,True,False,11112,269172,648704
25,100,100,600,False,False,True,11236,281632,661528
26,600,100,100,True,False,False,11172,273084,650236
26,100,600,100,False,True,False,11000,278580,656200
26,100,100,600,False,False,True,11164,282124,663860
27,600,100,100,True,False,False,11008,282320,659568
27,100,600,100,False,True,False,11012,275452,654240
27,100,100,600,False,False,True,10948,275204,656200
28,600,100,100,True,False,False,10984,274528,655548
28,100,600,100,False,True,False,11152,286720,665748
28,100,100,600,False,False,True,11004,264372,643556
29,600,100,100,True,False,False,10996,267404,648564
29,100,600,100,False,True,False,11292,266784,645368
29,100,100,600,False,False,True,11156,276884,655944
30,600,100,100,True,False,False,11056,269568,646736
30,100,600,100,False,True,False,10988,279552,656564
30,100,100,600,False,False,True,11176,280216,659384
31,600,100,100,True,False,False,11168,286552,664944
31,100,600,100,False,True,False,11008,267256,644056
31,100,100,600,False,False,True,11104,283064,660304
32,600,100,100,True,False,False,11092,274840,653912
32,100,600,100,False,True,False,11124,270252,648940
32,100,100,600,False,False,True,11104,273476,652140
33,600,100,100,True,False,False,10976,277280,654044
33,100,600,100,False,True,False,11048,288120,669148
33,100,100,600,False,False,True,11112,276776,654560
34,600,100,100,True,False,False,10980,274568,650908
34,100,600,100,False,True,False,11172,273000,654616
34,100,100,600,False,False,True,11060,269492,646512
35,600,100,100,True,False,False,11232,275116,654020
35,100,600,100,False,True,False,11028,281524,660692
35,100,100,600,False,False,True,11160,291180,670096
1,800,100,100,True,False,False,11048,290724,669372
1,100,800,100,False,True,False,10992,295744,674940
1,100,100,800,False,False,True,11112,291348,670044
2,800,100,100,True,False,False,11248,284524,663532
2,100,800,100,False,True,False,11160,290208,668776
2,100,100,800,False,False,True,11012,299820,678952
3,800,100,100,True,False,False,11244,304192,681648
3,100,800,100,False,True,False,11076,293300,672448
3,100,100,800,False,False,True,11092,288300,667336
4,800,100,100,True,False,False,11124,295836,672308
4,100,800,100,False,True,False,11100,293176,672036
4,100,100,800,False,False,True,10996,294616,673708
5,800,100,100,True,False,False,10992,289112,670280
5,100,800,100,False,True,False,10992,289400,668444
5,100,100,800,False,False,True,10984,288248,665212
6,800,100,100,True,False,False,11028,304292,684380
6,100,800,100,False,True,False,11072,294420,675808
6,100,100,800,False,False,True,11088,288092,667356
7,800,100,100,True,False,False,11076,299472,676056
7,100,800,100,False,True,False,11160,288772,667692
7,100,100,800,False,False,True,11116,294888,671504
8,800,100,100,True,False,False,11076,296496,675544
8,100,800,100,False,True,False,11112,295824,674596
8,100,100,800,False,False,True,10944,293392,672448
9,800,100,100,True,False,False,11092,290224,667080
9,100,800,100,False,True,False,11156,291620,668508
9,100,100,800,False,False,True,11024,285696,664756
10,800,100,100,True,False,False,11104,289184,666148
10,100,800,100,False,True,False,10948,289220,668508
10,100,100,800,False,False,True,11076,281208,658448
11,800,100,100,True,False,False,11012,285564,664540
11,100,800,100,False,True,False,11080,303008,682080
11,100,100,800,False,False,True,10972,281216,658188
12,800,100,100,True,False,False,11080,307908,686912
12,100,800,100,False,True,False,11228,299520,678240
12,100,100,800,False,False,True,11020,293156,670184
13,800,100,100,True,False,False,11244,290960,668044
13,100,800,100,False,True,False,11164,289216,668184
13,100,100,800,False,False,True,11012,297312,678408
14,800,100,100,True,False,False,11076,282964,660096
14,100,800,100,False,True,False,10960,287412,666372
14,100,100,800,False,False,True,11108,283560,660436
15,800,100,100,True,False,False,10928,290596,667820
15,100,800,100,False,True,False,11108,299516,678224
15,100,100,800,False,False,True,11092,288764,667676
16,800,100,100,True,False,False,11068,284284,665340
16,100,800,100,False,True,False,11228,297108,676888
16,100,100,800,False,False,True,10944,295280,672396
17,800,100,100,True,False,False,11180,287412,668284
17,100,800,100,False,True,False,11016,283808,662620
17,100,100,800,False,False,True,11060,284844,664096
18,800,100,100,True,False,False,11112,293448,672300
18,100,800,100,False,True,False,11224,280308,656836
18,100,100,800,False,False,True,11212,296912,676280
19,800,100,100,True,False,False,11004,299400,678112
19,100,800,100,False,True,False,11096,298608,679072
19,100,100,800,False,False,True,11048,299576,678140
20,800,100,100,True,False,False,11228,286456,667172
20,100,800,100,False,True,False,11172,287612,666068
20,100,100,800,False,False,True,11228,291432,668240
21,800,100,100,True,False,False,11108,290728,668404
21,100,800,100,False,True,False,11112,289528,668436
21,100,100,800,False,False,True,10964,292020,668844
22,800,100,100,True,False,False,11196,302964,679992
22,100,800,100,False,True,False,11112,287244,666272
22,100,100,800,False,False,True,11084,292392,671232
23,800,100,100,True,False,False,11076,288224,667624
23,100,800,100,False,True,False,11088,294144,673316
23,100,100,800,False,False,True,11016,298600,675804
24,800,100,100,True,False,False,11048,287164,665012
24,100,800,100,False,True,False,10992,300300,679180
24,100,100,800,False,False,True,11036,297360,676352
25,800,100,100,True,False,False,11096,290868,671344
25,100,800,100,False,True,False,11164,286412,662904
25,100,100,800,False,False,True,10972,291324,671052
26,800,100,100,True,False,False,11176,290028,668904
26,100,800,100,False,True,False,11120,288820,665780
26,100,100,800,False,False,True,10896,297548,674164
