Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 8720, 2056, 0, 0 0
92013, 92013, 15500, 2192, 0, 0 0
92013, 92013, 41944, 2192, 0, 0 0
92013, 92013, 163696, 696, 0, 0 0
92013, 92013, 235348, 588, 0, 0 0
92013, 92013, 366484, 2192, 0, 0 0
92013, 92013, 606100, 2192, 0, 0 0
92013, 92013, 849812, 2192, 0, 0 0
92013, 92013, 1101716, 2192, 0, 0 0
92013, 92013, 1347476, 2192, 0, 0 0
92013, 92013, 1595284, 2192, 0, 0 0
92013, 92013, 1843092, 2192, 0, 0 0
92013, 92013, 2097044, 2192, 0, 0 0
92013, 92013, 2346900, 2192, 0, 0 0
92013, 92013, 2588564, 2192, 0, 0 0
92013, 92013, 2822036, 2192, 0, 0 0
92013, 92013, 3057556, 2192, 0, 0 0
92013, 92013, 3311508, 2192, 0, 0 0
92013, 92013, 3563412, 2192, 0, 0 0
92013, 92013, 3813268, 2192, 0, 0 0
92013, 92013, 4065172, 2192, 0, 0 0
92013, 92013, 4315028, 2192, 0, 0 0
92013, 92013, 4564884, 2192, 0, 0 0
92013, 92013, 4792212, 2192, 0, 0 0
92013, 92013, 5029780, 2192, 0, 0 0
92013, 92013, 5275540, 2192, 0, 0 0
92013, 92013, 5519252, 2192, 0, 0 0
92013, 92013, 5765012, 2192, 0, 0 0
92013, 92013, 6010772, 2192, 0, 0 0
92013, 92013, 6262676, 2192, 0, 0 0
92013, 92013, 6508436, 2192, 0, 0 0
92013, 92013, 6754196, 2192, 0, 0 0
92013, 92013, 6997908, 2192, 0, 0 0
92013, 92013, 7247764, 2192, 0, 0 0
92013, 92013, 7497620, 2192, 0, 0 0
92013, 92013, 7745428, 2192, 0, 0 0
92013, 92013, 7991188, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
92013, 92013, 8066856, 2192, 0, 0 0
