iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,10920,216584,487140
1,100,200,100,False,True,False,10992,196292,464708
1,100,100,200,False,False,True,11232,191204,459664
2,200,100,100,True,False,False,11012,198512,468976
2,100,200,100,False,True,False,10996,194388,463344
2,100,100,200,False,False,True,11040,191488,460444
3,200,100,100,True,False,False,11048,187944,455520
3,100,200,100,False,True,False,11024,184204,452480
3,100,100,200,False,False,True,10964,190664,458764
4,200,100,100,True,False,False,11028,191272,461616
4,100,200,100,False,True,False,11100,185156,453188
4,100,100,200,False,False,True,10992,193184,461172
5,200,100,100,True,False,False,11144,189628,457412
5,100,200,100,False,True,False,11108,195708,465512
5,100,100,200,False,False,True,11008,194792,463004
6,200,100,100,True,False,False,11024,179936,447812
6,100,200,100,False,True,False,11076,188528,456480
6,100,100,200,False,False,True,11068,192620,461280
7,200,100,100,True,False,False,11008,190412,458844
7,100,200,100,False,True,False,10928,197924,466576
7,100,100,200,False,False,True,11076,198480,467220
8,200,100,100,True,False,False,11004,184596,453084
8,100,200,100,False,True,False,10940,187396,460496
8,100,100,200,False,False,True,11092,189084,457424
9,200,100,100,True,False,False,11148,197220,467816
9,100,200,100,False,True,False,11016,193864,464680
9,100,100,200,False,False,True,10964,192576,460760
10,200,100,100,True,False,False,11136,191560,460092
10,100,200,100,False,True,False,11088,184304,454616
10,100,100,200,False,False,True,10912,187768,456236
11,200,100,100,True,False,False,11208,191472,459524
11,100,200,100,False,True,False,10992,195044,463196
11,100,100,200,False,False,True,11024,194328,462476
12,200,100,100,True,False,False,11112,185460,455996
12,100,200,100,False,True,False,11028,193920,461584
12,100,100,200,False,False,True,11092,212312,479972
13,200,100,100,True,False,False,10916,187612,455632
13,100,200,100,False,True,False,11216,190596,460720
13,100,100,200,False,False,True,10968,195800,465884
14,200,100,100,True,False,False,10960,195060,467800
14,100,200,100,False,True,False,11004,193324,466292
14,100,100,200,False,False,True,11040,192332,460464
15,200,100,100,True,False,False,11000,196820,465156
15,100,200,100,False,True,False,10976,188840,457268
15,100,100,200,False,False,True,11060,192816,461076
16,200,100,100,True,False,False,10980,191808,461524
16,100,200,100,False,True,False,10992,197628,466084
16,100,100,200,False,False,True,11056,189612,462080
17,200,100,100,True,False,False,10976,187972,455832
17,100,200,100,False,True,False,11028,193508,461512
17,100,100,200,False,False,True,11020,190272,458372
18,200,100,100,True,False,False,10916,181280,449476
18,100,200,100,False,True,False,11028,186052,454088
18,100,100,200,False,False,True,11152,189608,461824
19,200,100,100,True,False,False,10988,193968,462284
19,100,200,100,False,True,False,11020,189312,458164
19,100,100,200,False,False,True,10924,192816,461344
20,200,100,100,True,False,False,11208,220012,490456
20,100,200,100,False,True,False,11040,193032,461968
20,100,100,200,False,False,True,11284,193644,462424
21,200,100,100,True,False,False,11012,194664,463272
21,100,200,100,False,True,False,10964,191224,464072
21,100,100,200,False,False,True,11056,190268,458660
22,200,100,100,True,False,False,11200,191880,462152
22,100,200,100,False,True,False,11012,200680,469236
22,100,100,200,False,False,True,11072,194180,462580
23,200,100,100,True,False,False,11064,192784,463416
23,100,200,100,False,True,False,11028,184448,454980
23,100,100,200,False,False,True,10968,193564,462052
24,200,100,100,True,False,False,11084,186768,457512
24,100,200,100,False,True,False,10936,198188,470960
24,100,100,200,False,False,True,11008,197752,465836
25,200,100,100,True,False,False,11056,188220,458804
25,100,200,100,False,True,False,11012,195468,465440
25,100,100,200,False,False,True,11084,187464,457344
26,200,100,100,True,False,False,11000,187960,456176
