iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
1,200,100,100,True,False,False,0,0,457264
1,100,200,100,False,True,False,0,0,476816
1,100,100,200,False,False,True,0,0,486464
2,200,100,100,True,False,False,0,0,483408
2,100,200,100,False,True,False,0,0,487752
2,100,100,200,False,False,True,0,0,485924
3,200,100,100,True,False,False,0,0,479756
3,100,200,100,False,True,False,0,0,479364
3,100,100,200,False,False,True,0,0,484080
4,200,100,100,True,False,False,0,0,475684
4,100,200,100,False,True,False,0,0,455048
4,100,100,200,False,False,True,0,0,483576
5,200,100,100,True,False,False,0,0,482176
5,100,200,100,False,True,False,0,0,466880
5,100,100,200,False,False,True,0,0,461008
6,200,100,100,True,False,False,0,0,474756
6,100,200,100,False,True,False,0,0,474944
6,100,100,200,False,False,True,0,0,480364
7,200,100,100,True,False,False,0,0,481696
7,100,200,100,False,True,False,0,0,481264
7,100,100,200,False,False,True,0,0,482464
8,200,100,100,True,False,False,0,0,481728
8,100,200,100,False,True,False,0,0,483348
8,100,100,200,False,False,True,0,0,451964
9,200,100,100,True,False,False,0,0,450400
9,100,200,100,False,True,False,0,0,480308
9,100,100,200,False,False,True,0,0,477700
10,200,100,100,True,False,False,0,0,453936
10,100,200,100,False,True,False,0,0,476268
10,100,100,200,False,False,True,0,0,480928
11,200,100,100,True,False,False,0,0,468140
11,100,200,100,False,True,False,0,0,463380
11,100,100,200,False,False,True,0,0,477364
12,200,100,100,True,False,False,0,0,480608
12,100,200,100,False,True,False,0,0,482780
12,100,100,200,False,False,True,0,0,475244
13,200,100,100,True,False,False,0,0,457396
13,100,200,100,False,True,False,0,0,479524
13,100,100,200,False,False,True,0,0,483228
14,200,100,100,True,False,False,0,0,484444
14,100,200,100,False,True,False,0,0,461352
14,100,100,200,False,False,True,0,0,486820
15,200,100,100,True,False,False,0,0,476628
15,100,200,100,False,True,False,0,0,457992
15,100,100,200,False,False,True,0,0,483348
16,200,100,100,True,False,False,0,0,479388
16,100,200,100,False,True,False,0,0,484480
16,100,100,200,False,False,True,0,0,484452
17,200,100,100,True,False,False,0,0,467424
17,100,200,100,False,True,False,0,0,484444
17,100,100,200,False,False,True,0,0,480968
18,200,100,100,True,False,False,0,0,477356
18,100,200,100,False,True,False,0,0,476732
18,100,100,200,False,False,True,0,0,460492
19,200,100,100,True,False,False,0,0,482564
19,100,200,100,False,True,False,0,0,482908
19,100,100,200,False,False,True,0,0,475120
20,200,100,100,True,False,False,0,0,482648
20,100,200,100,False,True,False,0,0,456660
20,100,100,200,False,False,True,0,0,480648
21,200,100,100,True,False,False,0,0,459868
21,100,200,100,False,True,False,0,0,469276
21,100,100,200,False,False,True,0,0,480184
22,200,100,100,True,False,False,0,0,468936
22,100,200,100,False,True,False,0,0,486036
22,100,100,200,False,False,True,0,0,454844
23,200,100,100,True,False,False,0,0,481584
23,100,200,100,False,True,False,0,0,485956
23,100,100,200,False,False,True,0,0,457716
24,200,100,100,True,False,False,0,0,482464
24,100,200,100,False,True,False,0,0,473968
24,100,100,200,False,False,True,0,0,484508
25,200,100,100,True,False,False,0,0,469084
25,100,200,100,False,True,False,0,0,484004
25,100,100,200,False,False,True,0,0,481636
26,200,100,100,True,False,False,0,0,477400
26,100,200,100,False,True,False,0,0,457408
26,100,100,200,False,False,True,0,0,444908
27,200,100,100,True,False,False,0,0,447808
27,100,200,100,False,True,False,0,0,449836
27,100,100,200,False,False,True,0,0,444896
28,200,100,100,True,False,False,0,0,448532
28,100,200,100,False,True,False,0,0,445180
28,100,100,200,False,False,True,0,0,444220
29,200,100,100,True,False,False,0,0,452208
29,100,200,100,False,True,False,0,0,448884
29,100,100,200,False,False,True,0,0,453580
30,200,100,100,True,False,False,0,0,448272
30,100,200,100,False,True,False,0,0,449284
30,100,100,200,False,False,True,0,0,477892
31,200,100,100,True,False,False,0,0,452300
31,100,200,100,False,True,False,0,0,461184
31,100,100,200,False,False,True,0,0,452296
32,200,100,100,True,False,False,0,0,450032
32,100,200,100,False,True,False,0,0,444132
