Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
131ff9f5-46b3-4e74-b189-033a996483b5, 10700, 272780, 196732, 469512
fe3c8715-2850-4768-8627-e28d7a1763b2, 11164, 273892, 197348, 471240
a7e81f33-ee16-4f44-a7da-315b5fc7df7e, 10892, 248872, 197312, 446184
2543b2d1-1a43-4c2b-8056-2602855799ed, 10696, 261348, 197220, 458568
0f4e1444-c230-431a-b27f-83feaae70bcb, 10692, 271796, 196836, 468632
8b0a8f53-271e-4428-91ed-97d4a6a52fae, 10892, 278200, 180972, 459172
cd8690d6-7141-4be8-89e5-dff07c2d636a, 11028, 274824, 183548, 458372
dbfb335b-6aaf-415b-ab53-1f3a86c6face, 10880, 279020, 183920, 462940
3f4b4e45-7d92-414c-acec-6ac710b9b204, 10812, 289108, 183200, 472308
f41dc52c-f030-4107-a9d8-18f166817486, 10804, 280756, 181724, 462480
8921a04a-ee3f-4d25-b30a-fec2e902aaa8, 10892, 307252, 181032, 488284
b351c066-094d-4e30-8d97-7286a379d80a, 10956, 300816, 181932, 482748
6ea155c4-4982-4b5b-8f4c-5d46ab398703, 10844, 304964, 181056, 486020
daddce77-50e7-42f0-983e-4d7a99d01426, 11076, 302596, 181856, 484452
bb6f5c63-3cb0-4147-945c-d52c60404acc, 10748, 286148, 181760, 467908
4365655a-b760-40d7-9cd4-0da551302038, 10976, 305108, 180888, 485996
54a81c9c-0a77-4db9-afbe-0a31bb16cd59, 10872, 309668, 181516, 491184
86964313-8cc2-428e-9e53-446645fd4009, 10944, 317140, 181144, 498284
b59e6d84-e19b-4044-b62a-9d77ae9f32dd, 10728, 304636, 181804, 486440
207805e0-7e24-452a-a22c-2d88ea86ca54, 10924, 310404, 181252, 491656
a6f9eecd-ca86-414b-bd5e-2293d5d91b9b, 10732, 332060, 181016, 513076
db22a87f-1fd7-433f-9ef0-b46a1e10f1f9, 10760, 324516, 181936, 506452
9b3fa7d5-5497-4391-a070-6fdaf51f908a, 11080, 329904, 182352, 512256
b86cc05b-d070-42e9-a1c3-a6d0fbfd68e2, 11060, 325000, 181760, 506760
77a418d9-c4c8-4bbf-9af2-d287a6b478b8, 10712, 321756, 181064, 502820
17019ffe-953d-4edd-bdc3-cfb0ef8c68ea, 10896, 351368, 184032, 535400
6f2c198e-c451-4bf8-b413-953939155fa4, 10804, 339208, 181404, 520612
0db8b75b-aee0-4640-9736-07b34117590d, 11008, 339312, 181552, 520864
fa66f8cf-db5d-4b42-af2c-055798335808, 10740, 347864, 181500, 529364
d7bd9eb8-f02c-49bd-8db2-3ed22ae52407, 10828, 348440, 181832, 530272
2a99f3ce-e2c6-4295-b9cd-0c64ba776642, 10816, 367048, 181380, 548428
0ca890f4-b839-41f6-bda7-d7baa4941773, 10952, 351052, 183592, 534644
a24d9179-946c-4eaa-8248-9e291d08b2c9, 10972, 361044, 181736, 542780
5cd61cd7-9500-4efb-ba89-01c98928c454, 10812, 373376, 181464, 554840
062160d1-0db6-4b30-ae4d-1100750bae19, 11184, 366644, 181808, 548452
c0b08004-19e6-467a-a6f7-a002a55e5fe2, 10840, 366708, 183560, 550268
1bd88766-ed99-4c3e-99a5-10ba4e25accd, 11008, 380508, 182088, 562596
e69388f6-9989-4b7c-ae5d-1e38456d8693, 10816, 372836, 184020, 556856
a2758167-9e2e-46ac-9df3-12f67f74c11a, 10836, 371484, 181192, 552676
8d17e8b2-5e74-4582-b3b9-d5633b108b13, 10812, 360532, 181068, 541600
f257414e-e85e-4295-b552-0aece4d74544, 11016, 383024, 191612, 574636
9626d48f-f52a-4fe4-b86d-27fec5a1d633, 10968, 384216, 191688, 575904
558053c5-ed32-4b04-aed6-f0131bb4bea5, 10964, 380088, 191300, 571388
ef3ea0f2-b5cf-4b33-82cf-7a136e85dba2, 10796, 392252, 191604, 583856
71fdf668-409a-4d0a-bf3b-daccf391621b, 10940, 390476, 191336, 581812
