Experiment root PID, PID, Rss, Shared_Clean, Shared_Dirty, Swap
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 8776, 2048, 0, 0 0
96480, 96480, 36576, 2204, 0, 0 0
96480, 96480, 79040, 2268, 0, 0 0
96480, 96480, 163496, 2264, 0, 0 0
96480, 96480, 322924, 2268, 0, 0 0
96480, 96480, 570732, 2268, 0, 0 0
96480, 96480, 818540, 2268, 0, 0 0
96480, 96480, 1066348, 2268, 0, 0 0
96480, 96480, 1320300, 2268, 0, 0 0
96480, 96480, 1578348, 2268, 0, 0 0
96480, 96480, 1834348, 2268, 0, 0 0
96480, 96480, 2090348, 2268, 0, 0 0
96480, 96480, 2336108, 2268, 0, 0 0
96480, 96480, 2592108, 2268, 0, 0 0
96480, 96480, 2844012, 2268, 0, 0 0
96480, 96480, 3097964, 2268, 0, 0 0
96480, 96480, 3349868, 2268, 0, 0 0
96480, 96480, 3603820, 2268, 0, 0 0
96480, 96480, 3857772, 2268, 0, 0 0
96480, 96480, 4105580, 2268, 0, 0 0
96480, 96480, 4359532, 2268, 0, 0 0
96480, 96480, 4607340, 2268, 0, 0 0
96480, 96480, 4861292, 2268, 0, 0 0
96480, 96480, 5117292, 2268, 0, 0 0
96480, 96480, 5373292, 2268, 0, 0 0
96480, 96480, 5627244, 2268, 0, 0 0
96480, 96480, 5885292, 2268, 0, 0 0
96480, 96480, 6139244, 2268, 0, 0 0
96480, 96480, 6395244, 2268, 0, 0 0
96480, 96480, 6647148, 2268, 0, 0 0
96480, 96480, 6899052, 2268, 0, 0 0
96480, 96480, 7150956, 2268, 0, 0 0
96480, 96480, 7404908, 2268, 0, 0 0
96480, 96480, 7660908, 2268, 0, 0 0
96480, 96480, 7886188, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067352, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8067524, 2268, 0, 0 0
96480, 96480, 8076860, 1800, 0, 0 0
96480, 96480, 8089804, 1624, 0, 0 0
96480, 96480, 8137364, 720, 0, 0 0
96480, 96480, 8083320, 2368, 0, 0 0
96480, 96480, 8173076, 2572, 0, 0 0
96480, 96480, 8130108, 2544, 0, 0 0
96480, 96480, 8191780, 2572, 0, 0 0
96480, 96480, 8195856, 11952, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 27676, 10848, 0, 0 0
96480, 96480, 8195856, 16892, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 66556, 18044, 0, 0 0
96480, 96480, 8195872, 21808, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 85912, 21420, 0, 0 0
96480, 96480, 8195876, 49820, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 148760, 49576, 4, 0 0
96480, 96480, 8216368, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 148764, 49576, 4, 0 0
96480, 96480, 8208416, 49676, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 148764, 49576, 4, 0 0
96480, 96480, 8251396, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 148776, 49576, 4, 0 0
96480, 96480, 8236852, 44348, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 148776, 49576, 4, 0 0
96480, 96480, 8277980, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153344, 49576, 4, 0 0
96480, 96480, 8278312, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153372, 49576, 4, 0 0
96480, 96480, 8278324, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153372, 49576, 4, 0 0
96480, 96480, 8278332, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153380, 49576, 4, 0 0
96480, 96480, 8278340, 49844, 4, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153380, 49576, 4, 0 0
96480, 96480, 465888, 49844, 8, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 98472, 153576, 49576, 8, 0 0
96480, 96480, 463980, 5968, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 96480, 464324, 5968, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
96480, 96480, 464328, 5968, 0, 0 0
96480, 98470, 10688, 5696, 0, 0 0
