iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
11,100,400,100,False,True,False,13308,101384,323108
11,100,100,400,False,False,True,11872,102924,324868
12,400,100,100,True,False,False,11544,101428,323292
12,100,400,100,False,True,False,11560,100784,322644
12,100,100,400,False,False,True,13824,94092,316052
13,400,100,100,True,False,False,11228,100412,322196
13,100,400,100,False,True,False,13232,98640,320236
13,100,100,400,False,False,True,11188,99724,321336
14,400,100,100,True,False,False,13468,103444,325360
14,100,400,100,False,True,False,13460,105608,327416
14,100,100,400,False,False,True,13404,97256,319080
15,400,100,100,True,False,False,11352,103148,325108
15,100,400,100,False,True,False,13240,99376,321008
15,100,100,400,False,False,True,13572,89216,311080
16,400,100,100,True,False,False,13340,101292,322680
16,100,400,100,False,True,False,13708,103144,325044
16,100,100,400,False,False,True,13408,96812,318788
17,400,100,100,True,False,False,11280,91536,313172
17,100,400,100,False,True,False,11496,97196,318996
17,100,100,400,False,False,True,11052,97336,319100
18,400,100,100,True,False,False,11360,100984,322628
18,100,400,100,False,True,False,11312,105584,327128
18,100,100,400,False,False,True,11392,103232,324716
19,400,100,100,True,False,False,11524,98328,320156
19,100,400,100,False,True,False,11484,99036,320808
19,100,100,400,False,False,True,11032,102740,324272
20,400,100,100,True,False,False,11812,98296,320256
20,100,400,100,False,True,False,13724,95208,317104
20,100,100,400,False,False,True,11172,103736,325728
21,400,100,100,True,False,False,11188,103188,325152
21,100,400,100,False,True,False,11168,95596,317564
21,100,100,400,False,False,True,11420,99260,320976
22,400,100,100,True,False,False,13372,95756,317520
22,100,400,100,False,True,False,11224,95612,317600
22,100,100,400,False,False,True,11364,104836,326740
23,400,100,100,True,False,False,13576,98760,320288
23,100,400,100,False,True,False,11528,95136,316960
23,100,100,400,False,False,True,13268,103512,325376
24,400,100,100,True,False,False,13536,93040,315000
24,100,400,100,False,True,False,11056,104560,326532
24,100,100,400,False,False,True,11216,105184,327060
25,400,100,100,True,False,False,11532,102796,324500
25,100,400,100,False,True,False,13272,97784,319776
25,100,100,400,False,False,True,11468,100548,322048
26,400,100,100,True,False,False,13640,101340,323084
26,100,400,100,False,True,False,11240,103780,325688
26,100,100,400,False,False,True,11052,101652,323564
27,400,100,100,True,False,False,11576,104964,326720
27,100,400,100,False,True,False,11100,95332,317240
27,100,100,400,False,False,True,13264,94812,316868
28,400,100,100,True,False,False,11356,96832,318620
28,100,400,100,False,True,False,13160,97676,319400
28,100,100,400,False,False,True,13328,95328,317396
29,400,100,100,True,False,False,11380,105732,327624
29,100,400,100,False,True,False,11040,99972,321452
29,100,100,400,False,False,True,13040,105436,327092
30,400,100,100,True,False,False,11164,123936,345916
30,100,400,100,False,True,False,11292,105456,327432
30,100,100,400,False,False,True,13212,91516,313048
31,400,100,100,True,False,False,13376,95388,317128
31,100,400,100,False,True,False,11464,103936,325544
31,100,100,400,False,False,True,11188,93844,315756
32,400,100,100,True,False,False,11192,97304,318812
32,100,400,100,False,True,False,11308,101532,323264
32,100,100,400,False,False,True,11644,104236,325968
33,400,100,100,True,False,False,13400,103780,325772
33,100,400,100,False,True,False,11340,105044,326664
33,100,100,400,False,False,True,11552,105208,326940
34,400,100,100,True,False,False,11220,99928,321564
34,100,400,100,False,True,False,11204,99308,321076
34,100,100,400,False,False,True,13912,98860,320532
35,400,100,100,True,False,False,11120,93396,315196
35,100,400,100,False,True,False,11224,101772,323492
35,100,100,400,False,False,True,11304,101576,323324
1,600,100,100,True,False,False,11632,120680,436132
1,100,600,100,False,True,False,11000,119644,435276
1,100,100,600,False,False,True,11468,107148,422584
2,600,100,100,True,False,False,11636,121160,436636
2,100,600,100,False,True,False,13852,108636,423924
2,100,100,600,False,False,True,11148,111472,426792
3,600,100,100,True,False,False,13700,119284,434648
3,100,600,100,False,True,False,11172,111068,426548
3,100,100,600,False,False,True,11100,115188,430708
4,600,100,100,True,False,False,11608,111088,426496
4,100,600,100,False,True,False,11460,108832,424440
4,100,100,600,False,False,True,11164,116700,432152
5,600,100,100,True,False,False,11212,113608,429088
5,100,600,100,False,True,False,13228,110708,426124
5,100,100,600,False,False,True,13596,108400,423624
6,600,100,100,True,False,False,11264,114860,430476
6,100,600,100,False,True,False,11124,117904,433180
6,100,100,600,False,False,True,13188,107180,422644
7,600,100,100,True,False,False,11176,112760,428300
7,100,600,100,False,True,False,11456,112220,427824
7,100,100,600,False,False,True,11384,108488,424024
8,600,100,100,True,False,False,15804,106972,422372
8,100,600,100,False,True,False,11512,114884,430448
8,100,100,600,False,False,True,11540,115160,430624
9,600,100,100,True,False,False,13260,109644,424924
9,100,600,100,False,True,False,13276,113496,429048
9,100,100,600,False,False,True,11104,110920,426440
10,600,100,100,True,False,False,11224,114376,429760
10,100,600,100,False,True,False,13580,109180,424572
10,100,100,600,False,False,True,13088,113708,429140
11,600,100,100,True,False,False,13436,114476,429960
11,100,600,100,False,True,False,13388,106588,422196
11,100,100,600,False,False,True,13044,111984,427160
12,600,100,100,True,False,False,11304,112728,428280
12,100,600,100,False,True,False,11468,114640,430080
12,100,100,600,False,False,True,11264,112780,427996
13,600,100,100,True,False,False,11600,112724,428160
13,100,600,100,False,True,False,15456,106548,421804
13,100,100,600,False,False,True,13828,110828,426332
14,600,100,100,True,False,False,11604,115932,431476
14,100,600,100,False,True,False,11508,112856,428372
14,100,100,600,False,False,True,13164,107032,422436
15,600,100,100,True,False,False,11104,113172,428684
15,100,600,100,False,True,False,11356,116628,432116
15,100,100,600,False,False,True,13828,114956,430320
16,600,100,100,True,False,False,13784,114080,429500
